图像,0.3046,0.4134
图片美化·滤镜,0.2027,0.3047
相机,0.1591,0.2431
导购,0.1746,0.2527
丽人母婴,0.0766,0.1513
视频播放器,0.2952,0.241
打车,0.4747,0.4259
违章查询,0.1078,0.0663
斗地主,0.2519,0.2124
root,0.1171,0.08
经期·孕期,0.0458,0.1014
商城,0.5923,0.6453
购物,0.6931,0.7447
团购·优惠券,0.4546,0.5051
美食·菜谱,0.0703,0.1195
交友,0.2463,0.2103
新闻·资讯,0.5582,0.5253
办公软件,0.2952,0.2647
交通导航,0.8082,0.7783
地图·导航,0.6658,0.6377
动作射击,0.2754,0.2474
效率办公,0.5425,0.5159
传输,0.1836,0.1572
彩票,0.1025,0.078
营业厅,0.4754,0.4514
电视·直播,0.3114,0.2892
优化,0.7493,0.7277
文件管理,0.0892,0.0687
扫码,0.1519,0.1315
租房·短租,0.1393,0.1192
宝石消除,0.2023,0.248
拍视频,0.0757,0.1212
教育培训,0.296,0.3412
记账,0.1628,0.2077
微博,0.2897,0.3325
短视频,0.1107,0.1469
音乐,0.6891,0.7207
语言学习·单词,0.062,0.0929
图片分享,0.0465,0.0751
词典·翻译,0.1369,0.1648
